fid;OBJECTID;Nombre_Ban;Este;Norte
39;250;Joel Sport;281808.6183;2163220.317
16;5;Chavez;282785.6107;2164274.995
34;40;Jesús Anibal;281848.6452;2164052.283
50;6;Los Cibaos;282597.6111;2164369.065
35;40;Jesús Anibal;281848.6452;2164052.283
17;5;Chavez;282785.6107;2164274.995
43;18;King;282500.9312;2165008.802
51;6;Los Cibaos;282597.6111;2164369.065
33;19;JL;282531.4338;2164927.601
26;4;Fey;282836.7735;2164287.553
9;3;Beco;282938.9712;2164336.808
41;222;Juan Rodríguez;281307.394;2162211.482
47;48;Leidsa;282194.4771;2163523.012
21;2;D'Tony Banca;282930.5444;2164221.532
3;164;Banca;281306.0624;2162895.244
13;17;Carlito Sport;282442.3237;2165143.825
25;176;Faty López;281170.4647;2162569.805
2;187;B y C;280600.8579;2162610.416
29;146;Flamingo;281223.756;2163006.421
24;85;Fabio;282042.1551;2162795.276
14;17;Carlito Sport;282442.3237;2165143.825
7;150;Banca López;281558.2481;2162985.518
38;148;Joaquin;281358.1877;2162986.403
1;137;Antonio Cruz;282109.9973;2163074.705
40;250;Joel Sport;281808.6183;2163220.317
20;242;Continental;281892.5017;2163264.697
11;77;Beller;282615.5986;2163297.671
48;48;Leidsa;282194.4771;2163523.012
32;92;González;282346.3251;2163468.021
12;68;Byron;282596.5176;2163611.592
54;7;Loteka;282512.1038;2164761.634
55;7;Loteka;282512.1038;2164761.634
56;7;Loteka;282512.1038;2164761.634
59;226;Minier;281825.0327;2162782.965
60;275;Moise;281461.937;2162981.043
61;113;Neno Cabrera;282425.2381;2162322.697
62;113;Neno Cabrera;282425.2381;2162322.697
64;10;OM;282462.6353;2165079.136
66;97;Osmar;282299.4477;2162978.067
68;111;Peralta Minier;282323.3191;2162410.078
70;96;R y C;282325.8938;2163046.84
72;69;Raudy;282752.2257;2163641.375
73;126;Real;281588.4381;2161566.285
74;126;Real;281588.4381;2161566.285
75;126;Real;281588.4381;2161566.285
77;118;Tejada;282570.341;2162186.518
78;118;Tejada;282570.341;2162186.518
79;118;Tejada;282570.341;2162186.518
80;79;Victor;282532.631;2163094.716
81;316;banca;282058.3947;2161217.877
52;6;Los Cibaos;282597.6111;2164369.065
6;42;Banca José;281906.007;2163901.106
44;18;King;282500.9312;2165008.802
30;146;Flamingo;281223.756;2163006.421
8;1;Banca Miguel;283165.6218;2164027.139
49;205;Lino;281434.7466;2164058.426
42;25;Juancito Sport;282659.7744;2164085.293
19;5;Chavez;282785.6107;2164274.995
22;66;Duarte;282950.4009;2164101.596
27;4;Fey;282836.7735;2164287.553
18;5;Chavez;282785.6107;2164274.995
36;40;Jesús Anibal;281848.6452;2164052.283
4;164;Banca;281306.0624;2162895.244
31;146;Flamingo;281223.756;2163006.421
37;40;Jesús Anibal;281848.6452;2164052.283
28;4;Fey;282836.7735;2164287.553
5;164;Banca;281306.0624;2162895.244
10;3;Beco;282938.9712;2164336.808
45;18;King;282500.9312;2165008.802
46;9;La Real;282396.3566;2165040.299
23;12;Edickson Batista;282374.9211;2165142.096
15;17;Carlito Sport;282442.3237;2165143.825
53;6;Los Cibaos;282597.6111;2164369.065
57;7;Loteka;282512.1038;2164761.634
58;7;Loteka;282512.1038;2164761.634
63;33;Nicol;282145.957;2164186.749
65;10;OM;282462.6353;2165079.136
67;11;Out 27 Sport;282384.6317;2165094.698
69;27;Prospero;282201.5995;2164308.87
71;23;Ramirez;282620.4294;2164173.244
76;126;Real;281588.4381;2161566.285
