fid;OBJECTID;Nombre_Ban;Este;Norte
53;250;Joel Sport;281808.6183;2163220.317
19;5;Chavez;282785.6107;2164274.995
45;40;Jesús Anibal;281848.6452;2164052.283
65;6;Los Cibaos;282597.6111;2164369.065
72;7;Loteka;282512.1038;2164761.634
46;40;Jesús Anibal;281848.6452;2164052.283
20;5;Chavez;282785.6107;2164274.995
57;18;King;282500.9312;2165008.802
66;6;Los Cibaos;282597.6111;2164369.065
42;19;JL;282531.4338;2164927.601
33;4;Fey;282836.7735;2164287.553
11;3;Beco;282938.9712;2164336.808
47;40;Jesús Anibal;281848.6452;2164052.283
55;222;Juan Rodríguez;281307.394;2162211.482
62;48;Leidsa;282194.4771;2163523.012
26;2;D'Tony Banca;282930.5444;2164221.532
3;164;Banca;281306.0624;2162895.244
79;113;Neno Cabrera;282425.2381;2162322.697
82;10;OM;282462.6353;2165079.136
80;113;Neno Cabrera;282425.2381;2162322.697
58;18;King;282500.9312;2165008.802
44;19;JL;282531.4338;2164927.601
15;17;Carlito Sport;282442.3237;2165143.825
86;111;Peralta Minier;282323.3191;2162410.078
73;7;Loteka;282512.1038;2164761.634
30;176;Faty López;281170.4647;2162569.805
2;187;B y C;280600.8579;2162610.416
38;146;Flamingo;281223.756;2163006.421
71;7;Loteka;282512.1038;2164761.634
77;226;Minier;281825.0327;2162782.965
29;85;Fabio;282042.1551;2162795.276
16;17;Carlito Sport;282442.3237;2165143.825
31;4;Fey;282836.7735;2164287.553
84;97;Osmar;282299.4477;2162978.067
78;275;Moise;281461.937;2162981.043
91;126;Real;281588.4381;2161566.285
92;126;Real;281588.4381;2161566.285
96;118;Tejada;282570.341;2162186.518
98;118;Tejada;282570.341;2162186.518
100;316;banca;282058.3947;2161217.877
39;146;Flamingo;281223.756;2163006.421
10;1;Banca Miguel;283165.6218;2164027.139
49;40;Jesús Anibal;281848.6452;2164052.283
23;5;Chavez;282785.6107;2164274.995
27;66;Duarte;282950.4009;2164101.596
35;4;Fey;282836.7735;2164287.553
21;5;Chavez;282785.6107;2164274.995
50;40;Jesús Anibal;281848.6452;2164052.283
36;4;Fey;282836.7735;2164287.553
4;164;Banca;281306.0624;2162895.244
24;5;Chavez;282785.6107;2164274.995
40;146;Flamingo;281223.756;2163006.421
51;40;Jesús Anibal;281848.6452;2164052.283
37;4;Fey;282836.7735;2164287.553
7;164;Banca;281306.0624;2162895.244
43;19;JL;282531.4338;2164927.601
12;3;Beco;282938.9712;2164336.808
28;12;Edickson Batista;282374.9211;2165142.096
18;17;Carlito Sport;282442.3237;2165143.825
22;5;Chavez;282785.6107;2164274.995
56;25;Juancito Sport;282659.7744;2164085.293
59;18;King;282500.9312;2165008.802
60;18;King;282500.9312;2165008.802
61;9;La Real;282396.3566;2165040.299
64;205;Lino;281434.7466;2164058.426
67;6;Los Cibaos;282597.6111;2164369.065
68;6;Los Cibaos;282597.6111;2164369.065
69;6;Los Cibaos;282597.6111;2164369.065
70;6;Los Cibaos;282597.6111;2164369.065
75;7;Loteka;282512.1038;2164761.634
76;7;Loteka;282512.1038;2164761.634
81;33;Nicol;282145.957;2164186.749
83;10;OM;282462.6353;2165079.136
85;11;Out 27 Sport;282384.6317;2165094.698
8;42;Banca José;281906.007;2163901.106
87;27;Prospero;282201.5995;2164308.87
95;126;Real;281588.4381;2161566.285
9;150;Banca López;281558.2481;2162985.518
52;148;Joaquin;281358.1877;2162986.403
88;96;R y C;282325.8938;2163046.84
1;137;Antonio Cruz;282109.9973;2163074.705
54;250;Joel Sport;281808.6183;2163220.317
34;4;Fey;282836.7735;2164287.553
25;242;Continental;281892.5017;2163264.697
13;77;Beller;282615.5986;2163297.671
17;17;Carlito Sport;282442.3237;2165143.825
32;4;Fey;282836.7735;2164287.553
63;48;Leidsa;282194.4771;2163523.012
5;164;Banca;281306.0624;2162895.244
41;92;González;282346.3251;2163468.021
74;7;Loteka;282512.1038;2164761.634
14;68;Byron;282596.5176;2163611.592
48;40;Jesús Anibal;281848.6452;2164052.283
6;164;Banca;281306.0624;2162895.244
89;23;Ramirez;282620.4294;2164173.244
90;69;Raudy;282752.2257;2163641.375
93;126;Real;281588.4381;2161566.285
94;126;Real;281588.4381;2161566.285
97;118;Tejada;282570.341;2162186.518
99;79;Victor;282532.631;2163094.716
