fid;OBJECTID;Nombre_Ban;Este;Norte
63;19;JL;282531.4338;2164927.601
72;40;Jesús Anibal;281848.6452;2164052.283
2;187;B y C;280600.8579;2162610.416
47;4;Fey;282836.7735;2164287.553
7;164;Banca;281306.0624;2162895.244
46;4;Fey;282836.7735;2164287.553
58;146;Flamingo;281223.756;2163006.421
39;2;D'Tony Banca;282930.5444;2164221.532
30;5;Chavez;282785.6107;2164274.995
104;6;Los Cibaos;282597.6111;2164369.065
14;3;Beco;282938.9712;2164336.808
106;6;Los Cibaos;282597.6111;2164369.065
45;176;Faty López;281170.4647;2162569.805
64;19;JL;282531.4338;2164927.601
15;3;Beco;282938.9712;2164336.808
31;5;Chavez;282785.6107;2164274.995
105;6;Los Cibaos;282597.6111;2164369.065
89;18;King;282500.9312;2165008.802
8;164;Banca;281306.0624;2162895.244
68;19;JL;282531.4338;2164927.601
82;222;Juan Rodríguez;281307.394;2162211.482
79;148;Joaquin;281358.1877;2162986.403
71;40;Jesús Anibal;281848.6452;2164052.283
24;17;Carlito Sport;282442.3237;2165143.825
50;4;Fey;282836.7735;2164287.553
99;205;Lino;281434.7466;2164058.426
102;6;Los Cibaos;282597.6111;2164369.065
87;18;King;282500.9312;2165008.802
114;7;Loteka;282512.1038;2164761.634
116;7;Loteka;282512.1038;2164761.634
120;226;Minier;281825.0327;2162782.965
121;275;Moise;281461.937;2162981.043
123;113;Neno Cabrera;282425.2381;2162322.697
124;113;Neno Cabrera;282425.2381;2162322.697
127;10;OM;282462.6353;2165079.136
135;96;R y C;282325.8938;2163046.84
141;126;Real;281588.4381;2161566.285
143;126;Real;281588.4381;2161566.285
145;118;Tejada;282570.341;2162186.518
147;118;Tejada;282570.341;2162186.518
41;2;D'Tony Banca;282930.5444;2164221.532
9;42;Banca José;281906.007;2163901.106
25;17;Carlito Sport;282442.3237;2165143.825
11;1;Banca Miguel;283165.6218;2164027.139
35;5;Chavez;282785.6107;2164274.995
42;66;Duarte;282950.4009;2164101.596
51;4;Fey;282836.7735;2164287.553
52;4;Fey;282836.7735;2164287.553
19;3;Beco;282938.9712;2164336.808
32;5;Chavez;282785.6107;2164274.995
4;164;Banca;281306.0624;2162895.244
33;5;Chavez;282785.6107;2164274.995
6;164;Banca;281306.0624;2162895.244
20;3;Beco;282938.9712;2164336.808
43;12;Edickson Batista;282374.9211;2165142.096
26;17;Carlito Sport;282442.3237;2165143.825
34;5;Chavez;282785.6107;2164274.995
53;4;Fey;282836.7735;2164287.553
54;4;Fey;282836.7735;2164287.553
55;4;Fey;282836.7735;2164287.553
59;146;Flamingo;281223.756;2163006.421
60;146;Flamingo;281223.756;2163006.421
65;19;JL;282531.4338;2164927.601
66;19;JL;282531.4338;2164927.601
67;19;JL;282531.4338;2164927.601
76;40;Jesús Anibal;281848.6452;2164052.283
77;40;Jesús Anibal;281848.6452;2164052.283
78;40;Jesús Anibal;281848.6452;2164052.283
83;25;Juancito Sport;282659.7744;2164085.293
91;18;King;282500.9312;2165008.802
93;18;King;282500.9312;2165008.802
94;18;King;282500.9312;2165008.802
96;9;La Real;282396.3566;2165040.299
107;6;Los Cibaos;282597.6111;2164369.065
109;6;Los Cibaos;282597.6111;2164369.065
110;6;Los Cibaos;282597.6111;2164369.065
111;6;Los Cibaos;282597.6111;2164369.065
112;6;Los Cibaos;282597.6111;2164369.065
118;7;Loteka;282512.1038;2164761.634
119;7;Loteka;282512.1038;2164761.634
129;10;OM;282462.6353;2165079.136
130;10;OM;282462.6353;2165079.136
132;11;Out 27 Sport;282384.6317;2165094.698
144;126;Real;281588.4381;2161566.285
48;4;Fey;282836.7735;2164287.553
36;242;Continental;281892.5017;2163264.697
21;77;Beller;282615.5986;2163297.671
27;17;Carlito Sport;282442.3237;2165143.825
28;17;Carlito Sport;282442.3237;2165143.825
56;4;Fey;282836.7735;2164287.553
3;164;Banca;281306.0624;2162895.244
17;3;Beco;282938.9712;2164336.808
61;92;González;282346.3251;2163468.021
22;68;Byron;282596.5176;2163611.592
69;19;JL;282531.4338;2164927.601
74;40;Jesús Anibal;281848.6452;2164052.283
5;164;Banca;281306.0624;2162895.244
57;4;Fey;282836.7735;2164287.553
40;2;D'Tony Banca;282930.5444;2164221.532
18;3;Beco;282938.9712;2164336.808
75;40;Jesús Anibal;281848.6452;2164052.283
90;18;King;282500.9312;2165008.802
92;18;King;282500.9312;2165008.802
95;18;King;282500.9312;2165008.802
98;48;Leidsa;282194.4771;2163523.012
108;6;Los Cibaos;282597.6111;2164369.065
117;7;Loteka;282512.1038;2164761.634
137;96;R y C;282325.8938;2163046.84
139;69;Raudy;282752.2257;2163641.375
142;126;Real;281588.4381;2161566.285
38;2;D'Tony Banca;282930.5444;2164221.532
84;18;King;282500.9312;2165008.802
10;150;Banca López;281558.2481;2162985.518
80;250;Joel Sport;281808.6183;2163220.317
12;3;Beco;282938.9712;2164336.808
81;250;Joel Sport;281808.6183;2163220.317
97;48;Leidsa;282194.4771;2163523.012
88;18;King;282500.9312;2165008.802
29;5;Chavez;282785.6107;2164274.995
101;6;Los Cibaos;282597.6111;2164369.065
70;40;Jesús Anibal;281848.6452;2164052.283
49;4;Fey;282836.7735;2164287.553
44;85;Fabio;282042.1551;2162795.276
1;137;Antonio Cruz;282109.9973;2163074.705
86;18;King;282500.9312;2165008.802
100;6;Los Cibaos;282597.6111;2164369.065
16;3;Beco;282938.9712;2164336.808
37;2;D'Tony Banca;282930.5444;2164221.532
62;19;JL;282531.4338;2164927.601
13;3;Beco;282938.9712;2164336.808
23;17;Carlito Sport;282442.3237;2165143.825
85;18;King;282500.9312;2165008.802
73;40;Jesús Anibal;281848.6452;2164052.283
103;6;Los Cibaos;282597.6111;2164369.065
113;7;Loteka;282512.1038;2164761.634
115;7;Loteka;282512.1038;2164761.634
122;113;Neno Cabrera;282425.2381;2162322.697
125;33;Nicol;282145.957;2164186.749
126;10;OM;282462.6353;2165079.136
128;10;OM;282462.6353;2165079.136
131;97;Osmar;282299.4477;2162978.067
133;111;Peralta Minier;282323.3191;2162410.078
134;27;Prospero;282201.5995;2164308.87
136;96;R y C;282325.8938;2163046.84
138;23;Ramirez;282620.4294;2164173.244
140;126;Real;281588.4381;2161566.285
146;118;Tejada;282570.341;2162186.518
148;79;Victor;282532.631;2163094.716
149;316;banca;282058.3947;2161217.877
